SURVEY,SAMPLE_DATE,TAXON_NAME,TAXON_GROUP,ABUNDANCE_M3
DC,1931-04-10 00:00:00,Guinardia striata,Diatom,7000
DC,1931-04-10 00:00:00,Guinardia flaccida,Diatom,10000
DC,1931-04-10 00:00:00,Proboscia alata,Diatom,24000
DC,1931-04-10 00:00:00,Leptocylindrus danicus,Diatom,55500
DC,1931-05-01 00:00:00,Leptocylindrus mediterraneus,Diatom,200
DC,1931-05-01 00:00:00,Rhizosolenia spp.,Diatom,200
DC,1931-05-01 00:00:00,Climacodium frauenfeldianum,Diatom,230
DC,1931-05-01 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,400
DC,1931-05-01 00:00:00,Tripos furca,Dinoflagellate,600
DC,1931-05-01 00:00:00,Tripos muelleri,Dinoflagellate,1200
DC,1931-05-01 00:00:00,Dinophysis tripos,Dinoflagellate,1600
DC,1931-06-21 00:00:00,Thalassiosira subtilis,Diatom,70
DC,1931-06-21 00:00:00,Climacodium biconcavum,Diatom,250
DC,1931-06-21 00:00:00,Favella campanula,Ciliate,250
DC,1931-06-21 00:00:00,Thalassiosira rotula,Diatom,300
DC,1931-06-21 00:00:00,Proboscia alata,Diatom,900
DC,1931-06-21 00:00:00,Oscillatoria spp.,Cyanobacteria,900
DC,1931-06-21 00:00:00,Thalassiosira condensata,Diatom,3600
DC,1931-07-02 00:00:00,Bacteriastrum spp.,Diatom,70
DC,1931-07-02 00:00:00,Leptocylindrus mediterraneus,Diatom,200
DC,1931-07-02 00:00:00,Asterionellopsis glacialis,Diatom,400
DC,1931-07-02 00:00:00,Stephanopyxis spp.,Diatom,400
DC,1931-07-02 00:00:00,Helicotheca tamesis,Diatom,400
DC,1931-07-02 00:00:00,Tripos furca,Dinoflagellate,440
DC,1931-07-02 00:00:00,Thalassiosira subtilis,Diatom,600
DC,1931-07-02 00:00:00,Protoperidinium spp.,Dinoflagellate,880
DC,1931-07-18 00:00:00,Leptocylindrus mediterraneus,Diatom,300
DC,1931-07-18 00:00:00,Proboscia alata,Diatom,300
DC,1931-07-18 00:00:00,Dinophysis tripos,Dinoflagellate,300
DC,1931-07-18 00:00:00,Bacteriastrum spp.,Diatom,600
DC,1931-07-18 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,600
DC,1931-07-18 00:00:00,Planktoniella sol,Diatom,900
DC,1931-07-18 00:00:00,Thalassionema nitzschioides,Diatom,900
DC,1931-07-18 00:00:00,Rhizosolenia spp.,Diatom,1200
DC,1931-07-18 00:00:00,Chaetoceros spp.,Diatom,1500
DC,1931-07-18 00:00:00,Coscinodiscus spp.,Diatom,3300
DC,1931-08-02 00:00:00,Chaetoceros socialis,Diatom,440
DC,1931-08-02 00:00:00,Helicotheca tamesis,Diatom,1600
DC,1931-08-02 00:00:00,Chaetoceros spp.,Diatom,6160
DC,1931-08-02 00:00:00,Odontella mobiliensis,Diatom,6600
DC,1931-08-02 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,7480
DC,1931-08-02 00:00:00,Thalassiosira spp.,Diatom,22000
DC,1931-08-08 00:00:00,Bacteriastrum spp.,Diatom,70
DC,1931-08-08 00:00:00,Rhizosolenia spp.,Diatom,720
DC,1931-08-08 00:00:00,Guinardia striata,Diatom,720
DC,1931-08-08 00:00:00,Chaetoceros socialis,Diatom,6000
DC,1931-08-08 00:00:00,Chaetoceros spp.,Diatom,10080
DC,1931-08-08 00:00:00,Asterionellopsis glacialis,Diatom,46520
DC,1931-08-08 00:00:00,Thalassiosira condensata,Diatom,172800
DC,1931-08-12 00:00:00,Eucampia zodiacus,Diatom,700
DC,1931-08-12 00:00:00,Tintinnopsis radix,Ciliate,700
DC,1931-08-12 00:00:00,Gymnodinium spp.,Dinoflagellate,700
DC,1931-08-12 00:00:00,Thalassiosira rotula,Diatom,1400
DC,1931-08-12 00:00:00,Protoperidinium spp.,Dinoflagellate,2800
DC,1931-08-12 00:00:00,Coscinodiscus concinnus,Diatom,5600
DC,1931-08-12 00:00:00,Thalassionema nitzschioides,Diatom,70
DC,1931-08-12 00:00:00,Thalassiosira subtilis,Diatom,8400
DC,1931-08-12 00:00:00,Chaetoceros spp.,Diatom,8800
DC,1931-08-20 00:00:00,Thalassiosira condensata,Diatom,70
DC,1931-08-20 00:00:00,Gymnodinium spp.,Dinoflagellate,70
DC,1931-08-20 00:00:00,Protoperidinium spp.,Dinoflagellate,70
DC,1931-08-20 00:00:00,Stephanopyxis spp.,Diatom,400
DC,1931-08-20 00:00:00,Leptocylindrus danicus,Diatom,450
DC,1931-08-20 00:00:00,Planktoniella sol,Diatom,500
DC,1931-08-20 00:00:00,Coscinodiscus concinnus,Diatom,800
DC,1931-08-20 00:00:00,Chaetoceros socialis,Diatom,8400
DC,1931-08-20 00:00:00,Guinardia striata,Diatom,900
DC,1931-08-20 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,1320
DC,1931-08-20 00:00:00,Chaetoceros spp.,Diatom,17500
DC,1931-08-20 00:00:00,Asterionellopsis glacialis,Diatom,57860
DC,1931-09-12 00:00:00,Bacteriastrum spp.,Diatom,700
DC,1931-09-12 00:00:00,Planktoniella sol,Diatom,700
DC,1931-09-12 00:00:00,Helicotheca tamesis,Diatom,2100
DC,1931-09-12 00:00:00,Coscinodiscus concinnus,Diatom,2200
DC,1931-09-12 00:00:00,Eucampia zodiacus,Diatom,2800
DC,1931-09-12 00:00:00,Asterionellopsis glacialis,Diatom,22630
DC,1931-09-12 00:00:00,Guinardia striata,Diatom,43800
DC,1931-09-12 00:00:00,Thalassiosira condensata,Diatom,87600
DC,1931-09-20 00:00:00,Thalassionema nitzschioides,Diatom,70
DC,1931-09-20 00:00:00,Protoperidinium spp.,Dinoflagellate,70
DC,1931-09-20 00:00:00,Odontella mobiliensis,Diatom,1960
DC,1931-09-20 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,3500
DC,1931-09-20 00:00:00,Guinardia striata,Diatom,50000
DC,1931-09-20 00:00:00,Chaetoceros spp.,Diatom,64020
DC,1931-10-03 00:00:00,Tripos muelleri,Dinoflagellate,70
DC,1931-10-03 00:00:00,Tripos furca,Dinoflagellate,70
DC,1931-10-03 00:00:00,Dinophysis tripos,Dinoflagellate,450
DC,1931-10-03 00:00:00,Coscinodiscus concinnus,Diatom,880
DC,1931-10-03 00:00:00,Chaetoceros spp.,Diatom,5720
DC,1932-01-02 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,440
DC,1932-01-02 00:00:00,Rhizosolenia spp.,Diatom,800
DC,1932-01-02 00:00:00,Tripos muelleri,Dinoflagellate,880
DC,1932-01-02 00:00:00,Hemiaulus hauckii,Diatom,1200
DC,1932-01-02 00:00:00,Thalassiosira condensata,Diatom,1200
DC,1932-01-02 00:00:00,Rhizosolenia robusta,Diatom,3200
DC,1932-01-02 00:00:00,Oscillatoria spp.,Cyanobacteria,3200
DC,1932-01-02 00:00:00,Tripos furca,Dinoflagellate,3500
DC,1932-01-02 00:00:00,Coscinodiscus spp.,Diatom,3600
DC,1932-01-02 00:00:00,Asterionellopsis glacialis,Diatom,6600
DC,1932-01-02 00:00:00,Planktoniella sol,Diatom,8800
DC,1932-01-02 00:00:00,Chaetoceros spp.,Diatom,11000
DC,1932-01-08 00:00:00,Corethron pennatum,Diatom,400
DC,1932-01-08 00:00:00,Helicotheca tamesis,Diatom,400
DC,1932-01-08 00:00:00,Tripos furca,Dinoflagellate,400
DC,1932-01-08 00:00:00,Eucampia zodiacus,Diatom,450
DC,1932-01-08 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,1200
DC,1932-01-08 00:00:00,Oscillatoria spp.,Cyanobacteria,1200
DC,1932-01-08 00:00:00,Rhizosolenia robusta,Diatom,15840
DC,1932-01-08 00:00:00,Chaetoceros spp.,Diatom,19000
DC,1932-01-08 00:00:00,Planktoniella sol,Diatom,19000
DC,1932-01-28 00:00:00,Leptocylindrus mediterraneus,Diatom,220
DC,1932-01-28 00:00:00,Climacodium frauenfeldianum,Diatom,440
DC,1932-01-28 00:00:00,Rhizosolenia spp.,Diatom,850
DC,1932-01-28 00:00:00,Coscinodiscus spp.,Diatom,2000
DC,1932-01-28 00:00:00,Oscillatoria spp.,Cyanobacteria,24000
DC,1932-02-10 00:00:00,Coscinodiscus spp.,Diatom,200
DC,1932-02-10 00:00:00,Hemiaulus hauckii,Diatom,220
DC,1932-02-10 00:00:00,Planktoniella sol,Diatom,220
DC,1932-02-10 00:00:00,Tripos muelleri,Dinoflagellate,400
DC,1932-02-10 00:00:00,Thalassiosira condensata,Diatom,440
DC,1932-02-10 00:00:00,Oscillatoria spp.,Cyanobacteria,15600
DC,1932-02-10 00:00:00,Chaetoceros spp.,Diatom,85800
DC,1932-02-12 00:00:00,Hemiaulus hauckii,Diatom,400
DC,1932-02-12 00:00:00,Climacodium frauenfeldianum,Diatom,440
DC,1932-02-12 00:00:00,Guinardia delicatula,Diatom,440
DC,1932-02-12 00:00:00,Codonellopsis ostenfeldi,Ciliate,440
DC,1932-02-12 00:00:00,Tripos muelleri,Dinoflagellate,440
DC,1931-10-17 00:00:00,Tripos fusus,Dinoflagellate,3000
DC,1931-10-17 00:00:00,Dinophysis tripos,Dinoflagellate,2000
DC,1931-10-17 00:00:00,Guinardia striata,Diatom,2500
DC,1931-10-17 00:00:00,Tripos furca,Dinoflagellate,1000
DC,1931-10-17 00:00:00,Protoperidinium spp.,Dinoflagellate,3500
DC,1931-10-17 00:00:00,Eucampia zodiacus,Diatom,6700
DC,1931-10-17 00:00:00,Thalassionema nitzschioides,Diatom,13000
DC,1931-10-17 00:00:00,Chaetoceros spp.,Diatom,365560
DC,1931-10-25 00:00:00,Tripos muelleri,Dinoflagellate,70
DC,1931-10-25 00:00:00,Bacteriastrum spp.,Diatom,200
DC,1931-10-25 00:00:00,Rhizosolenia robusta,Diatom,200
DC,1931-10-25 00:00:00,Cerataulina spp.,Diatom,450
DC,1931-10-25 00:00:00,Rhizosolenia spp.,Diatom,600
DC,1931-10-25 00:00:00,Eucampia zodiacus,Diatom,800
DC,1931-10-25 00:00:00,Dinophysis tripos,Dinoflagellate,900
DC,1931-10-25 00:00:00,Tripos furca,Dinoflagellate,1000
DC,1931-10-25 00:00:00,Protoperidinium spp.,Dinoflagellate,1500
DC,1931-10-25 00:00:00,Leptocylindrus mediterraneus,Diatom,2000
DC,1931-10-25 00:00:00,Leptocylindrus danicus,Diatom,2200
DC,1931-10-25 00:00:00,Chaetoceros spp.,Diatom,16500
DC,1931-11-01 00:00:00,Odontella spp.,Diatom,1600
DC,1931-11-01 00:00:00,Leptocylindrus mediterraneus,Diatom,2400
DC,1931-11-01 00:00:00,Coscinodiscus concinnus,Diatom,4000
DC,1931-11-01 00:00:00,Dinophysis tripos,Dinoflagellate,14080
DC,1931-11-01 00:00:00,Protoperidinium spp.,Dinoflagellate,67500
DC,1931-11-01 00:00:00,Cerataulina spp.,Diatom,304000
DC,1931-11-13 00:00:00,Chaetoceros spp.,Diatom,70
DC,1931-11-13 00:00:00,Eucampia zodiacus,Diatom,300
DC,1931-11-13 00:00:00,Lauderia annulata,Diatom,100
DC,1931-11-15 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,600
DC,1931-11-15 00:00:00,Tripos furca,Dinoflagellate,1760
DC,1931-11-22 00:00:00,Helicotheca tamesis,Diatom,400
DC,1931-11-22 00:00:00,Favella campanula,Ciliate,800
DC,1931-11-22 00:00:00,Guinardia striata,Diatom,1500
DC,1931-11-22 00:00:00,Tripos furca,Dinoflagellate,3600
DC,1931-11-22 00:00:00,Corethron pennatum,Diatom,4400
DC,1931-11-22 00:00:00,Rhizosolenia robusta,Diatom,4400
DC,1931-11-22 00:00:00,Protoperidinium spp.,Dinoflagellate,30000
DC,1931-11-22 00:00:00,Eucampia zodiacus,Diatom,113520
DC,1931-12-07 00:00:00,Tripos furca,Dinoflagellate,10800
DC,1931-12-08 00:00:00,Climacodium frauenfeldianum,Diatom,70
DC,1931-12-26 00:00:00,Tripos furca,Dinoflagellate,600
DC,1931-01-04 00:00:00,Coscinodiscus concinnus,Diatom,70
DC,1931-01-04 00:00:00,Coscinodiscus spp.,Diatom,70
DC,1931-01-04 00:00:00,Helicotheca tamesis,Diatom,400
DC,1931-01-04 00:00:00,Tripos muelleri,Dinoflagellate,880
DC,1931-01-04 00:00:00,Tripos furca,Dinoflagellate,880
DC,1931-01-04 00:00:00,Thalassiosira rotula,Diatom,1760
DC,1931-01-04 00:00:00,Tripos fusus,Dinoflagellate,1760
DC,1931-01-04 00:00:00,Protoperidinium spp.,Dinoflagellate,4400
DC,1931-01-04 00:00:00,Proboscia alata,Diatom,4840
DC,1931-01-20 00:00:00,Dinophysis tripos,Dinoflagellate,600
DC,1931-01-20 00:00:00,Protoperidinium spp.,Dinoflagellate,1200
DC,1931-01-20 00:00:00,Tripos muelleri,Dinoflagellate,1800
DC,1931-01-20 00:00:00,Rhizosolenia spp.,Diatom,17400
DC,1931-02-27 00:00:00,Climacodium frauenfeldianum,Diatom,600
DC,1931-03-05 00:00:00,Dinophysis tripos,Dinoflagellate,200
DC,1931-03-05 00:00:00,Rhizosolenia spp.,Diatom,440
DC,1931-03-14 00:00:00,Asterionellopsis glacialis,Diatom,373700
DC,1931-04-07 00:00:00,Leptocylindrus mediterraneus,Diatom,70
DC,1931-04-07 00:00:00,Tripos muelleri,Dinoflagellate,200
DC,1931-04-07 00:00:00,Tripos furca,Dinoflagellate,200
DC,1931-04-07 00:00:00,Dinophysis tripos,Dinoflagellate,220
DC,1931-04-07 00:00:00,Favella campanula,Ciliate,440
DC,1931-04-07 00:00:00,Lauderia annulata,Diatom,400
DC,1931-04-10 00:00:00,Climacodium frauenfeldianum,Diatom,500
DC,1931-04-10 00:00:00,Tripos fusus,Dinoflagellate,700
DC,1931-04-10 00:00:00,Oscillatoria spp.,Cyanobacteria,900
DC,1931-04-10 00:00:00,Protoperidinium spp.,Dinoflagellate,4000
DC,1931-04-10 00:00:00,Chaetoceros spp.,Diatom,5000
DC,1931-04-10 00:00:00,Climacodium frauenfeldianum,Diatom,700
DC,1931-04-10 00:00:00,Helicotheca tamesis,Diatom,700
DC,1931-04-10 00:00:00,Asterionellopsis glacialis,Diatom,2200
DC,1931-04-10 00:00:00,Oscillatoria spp.,Cyanobacteria,4500
DC,1931-07-02 00:00:00,Planktoniella sol,Diatom,220
DC,1931-06-21 00:00:00,Asterionellopsis glacialis,Diatom,250
DC,1931-06-21 00:00:00,Tripos muelleri,Dinoflagellate,250
DC,1931-06-21 00:00:00,Planktoniella sol,Diatom,300
DC,1931-06-21 00:00:00,Rhizosolenia spp.,Diatom,600
DC,1931-07-02 00:00:00,Proboscia alata,Diatom,200
DC,1931-07-02 00:00:00,Codonellopsis ostenfeldi,Ciliate,200
DC,1931-07-02 00:00:00,Odontella mobiliensis,Diatom,400
DC,1931-07-02 00:00:00,Thalassiosira condensata,Diatom,400
DC,1931-07-02 00:00:00,Rhizosolenia robusta,Diatom,600
DC,1931-07-02 00:00:00,Tripos muelleri,Dinoflagellate,880
DC,1931-07-02 00:00:00,Chaetoceros spp.,Diatom,7260
DC,1931-07-18 00:00:00,Thalassiosira rotula,Diatom,300
DC,1931-07-18 00:00:00,Odontella mobiliensis,Diatom,600
DC,1931-07-18 00:00:00,Helicotheca tamesis,Diatom,900
DC,1931-07-18 00:00:00,Tintinnopsis radix,Ciliate,1200
DC,1931-07-18 00:00:00,Gymnodinium spp.,Dinoflagellate,1600
DC,1931-08-12 00:00:00,Guinardia striata,Diatom,3500
DC,1931-08-12 00:00:00,Chaetoceros socialis,Diatom,900
DC,1931-08-20 00:00:00,Thalassionema nitzschioides,Diatom,6300
DC,1931-08-20 00:00:00,Odontella mobiliensis,Diatom,8406
DC,1931-08-20 00:00:00,Tripos fusus,Dinoflagellate,440
DC,1931-08-20 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,12600
DC,1931-08-20 00:00:00,Leptocylindrus mediterraneus,Diatom,3520
DC,1931-08-20 00:00:00,Rhizosolenia spp.,Diatom,9000
DC,1931-08-20 00:00:00,Helicotheca tamesis,Diatom,44660
DC,1931-09-12 00:00:00,Leptocylindrus mediterraneus,Diatom,730
DC,1931-09-12 00:00:00,Thalassionema nitzschioides,Diatom,2200
DC,1931-09-12 00:00:00,Rhizosolenia robusta,Diatom,3500
DC,1931-09-12 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,12410
DC,1931-09-12 00:00:00,Chaetoceros spp.,Diatom,47450
DC,1931-09-20 00:00:00,Leptocylindrus danicus,Diatom,70
DC,1931-09-20 00:00:00,Tripos muelleri,Dinoflagellate,70
DC,1931-09-20 00:00:00,Rhizosolenia robusta,Diatom,1300
DC,1931-09-20 00:00:00,Eucampia zodiacus,Diatom,4800
DC,1931-09-20 00:00:00,Asterionellopsis glacialis,Diatom,23100
DC,1931-09-20 00:00:00,Thalassiosira condensata,Diatom,222000
DC,1931-10-03 00:00:00,Rhizosolenia robusta,Diatom,450
DC,1931-10-03 00:00:00,Odontella mobiliensis,Diatom,880
DC,1931-10-03 00:00:00,Helicotheca tamesis,Diatom,880
DC,1931-10-03 00:00:00,Protoperidinium spp.,Dinoflagellate,4050
DC,1931-10-03 00:00:00,Thalassiosira condensata,Diatom,7040
DC,1932-01-02 00:00:00,Leptocylindrus danicus,Diatom,78320
DC,1932-01-08 00:00:00,Hemiaulus hauckii,Diatom,400
DC,1932-01-08 00:00:00,Stephanopyxis spp.,Diatom,440
DC,1932-01-08 00:00:00,Tripos muelleri,Dinoflagellate,880
DC,1932-01-08 00:00:00,Leptocylindrus danicus,Diatom,1200
DC,1932-01-08 00:00:00,Protoperidinium spp.,Dinoflagellate,3000
DC,1932-01-28 00:00:00,Tripos muelleri,Dinoflagellate,400
DC,1932-02-10 00:00:00,Leptocylindrus mediterraneus,Diatom,220
DC,1932-02-10 00:00:00,Dinophysis tripos,Dinoflagellate,220
DC,1932-02-10 00:00:00,Asterionellopsis glacialis,Diatom,650
DC,1932-02-10 00:00:00,Tripos furca,Dinoflagellate,4000
DC,1932-02-10 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,5600
DC,1932-02-12 00:00:00,Guinardia flaccida,Diatom,440
DC,1932-02-12 00:00:00,Guinardia striata,Diatom,440
DC,1932-02-12 00:00:00,Oscillatoria spp.,Cyanobacteria,800
DC,1931-11-01 00:00:00,Rhizosolenia spp.,Diatom,2400
DC,1931-11-01 00:00:00,Gymnodinium spp.,Dinoflagellate,3200
DC,1931-11-01 00:00:00,Guinardia striata,Diatom,4400
DC,1931-11-01 00:00:00,Odontella mobiliensis,Diatom,10000
DC,1931-11-01 00:00:00,Rhizosolenia robusta,Diatom,26400
DC,1931-11-01 00:00:00,Tripos furca,Dinoflagellate,80000
DC,1931-11-13 00:00:00,Rhizosolenia robusta,Diatom,120000
DC,1931-11-15 00:00:00,Eucampia zodiacus,Diatom,600
DC,1931-11-22 00:00:00,Climacodium frauenfeldianum,Diatom,440
DC,1931-11-22 00:00:00,Thalassiosira condensata,Diatom,4000
DC,1931-11-28 00:00:00,Coscinodiscus spp.,Diatom,800
DC,1931-12-07 00:00:00,Protoperidinium spp.,Dinoflagellate,3500
DC,1931-12-26 00:00:00,Protoperidinium spp.,Dinoflagellate,70
DC,1931-12-26 00:00:00,Chaetoceros spp.,Diatom,650
DC,1931-01-20 00:00:00,Guinardia striata,Diatom,2700
DC,1931-01-20 00:00:00,Asterionellopsis glacialis,Diatom,6600
DC,1931-01-20 00:00:00,Leptocylindrus danicus,Diatom,153000
DC,1931-02-27 00:00:00,Asterionellopsis glacialis,Diatom,800
DC,1931-02-27 00:00:00,Rhizosolenia spp.,Diatom,22440
DC,1931-03-05 00:00:00,Favella campanula,Ciliate,600
DC,1931-03-05 00:00:00,Climacodium frauenfeldianum,Diatom,2200
DC,1931-04-07 00:00:00,Tintinnopsis radix,Ciliate,5280
DC,1931-04-07 00:00:00,Thalassiosira spp.,Diatom,400
DC,1931-04-07 00:00:00,Climacodium frauenfeldianum,Diatom,1600
DC,1931-04-07 00:00:00,Chaetoceros spp.,Diatom,19800
DC,1931-04-07 00:00:00,Thalassionema nitzschioides,Diatom,400
DC,1931-04-10 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,880
DC,1931-04-10 00:00:00,Nitzschia longissima,Diatom,700
DC,1931-04-10 00:00:00,Thalassiosira rotula,Diatom,750
DC,1931-04-10 00:00:00,Thalassiosira condensata,Diatom,4500
DC,1931-04-10 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,25500
DC,1931-06-21 00:00:00,Protoperidinium spp.,Dinoflagellate,600
DC,1931-08-02 00:00:00,Asterionellopsis glacialis,Diatom,4000
DC,1932-01-28 00:00:00,Protoperidinium spp.,Dinoflagellate,450
DC,1931-12-26 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,600
DC,1931-04-07 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,3000
DC,1931-04-10 00:00:00,Rhizosolenia spp.,Diatom,11000
DC,1931-09-12 00:00:00,Leptocylindrus danicus,Diatom,1400
DC,1932-01-02 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,3200
DC,1931-10-25 00:00:00,Tripos fusus,Dinoflagellate,70
DC,1931-11-01 00:00:00,Leptocylindrus danicus,Diatom,5000
DC,1931-03-05 00:00:00,Tripos furca,Dinoflagellate,600
DC,1931-08-12 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,900
DC,1931-07-18 00:00:00,Climacodium frauenfeldianum,Diatom,70
DC,1932-02-12 00:00:00,Eucampia zodiacus,Diatom,440
DC,1931-11-01 00:00:00,Eucampia zodiacus,Diatom,3000
DC,1931-05-01 00:00:00,Tintinnopsis radix,Ciliate,200
DC,1931-06-21 00:00:00,Coscinodiscus spp.,Diatom,600
DC,1931-07-02 00:00:00,Rhizosolenia spp.,Diatom,200
DC,1931-07-02 00:00:00,Coscinodiscus spp.,Diatom,1600
DC,1931-07-18 00:00:00,Protoperidinium spp.,Dinoflagellate,4200
DC,1931-08-12 00:00:00,Nitzschia longissima,Diatom,700
DC,1931-08-20 00:00:00,Thalassiosira rotula,Diatom,70
DC,1931-08-20 00:00:00,Tripos furca,Dinoflagellate,450
DC,1931-09-12 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,3500
DC,1931-09-20 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,6600
DC,1931-10-03 00:00:00,Proboscia alata,Diatom,880
DC,1932-01-02 00:00:00,Protoperidinium spp.,Dinoflagellate,2500
DC,1932-01-08 00:00:00,Thalassiosira condensata,Diatom,800
DC,1931-10-25 00:00:00,Hemiaulus hauckii,Diatom,450
DC,1931-11-01 00:00:00,Asterionellopsis glacialis,Diatom,70
DC,1931-11-01 00:00:00,Tripos muelleri,Dinoflagellate,2450
DC,1931-12-26 00:00:00,Dinophysis tripos,Dinoflagellate,600
DC,1931-01-04 00:00:00,Thalassionema nitzschioides,Diatom,880
DC,1931-01-20 00:00:00,Chaetoceros spp.,Diatom,2700
DC,1931-03-05 00:00:00,Tripos muelleri,Dinoflagellate,1400
DC,1931-04-07 00:00:00,Rhizosolenia spp.,Diatom,15620
DC,1931-04-10 00:00:00,Tripos muelleri,Dinoflagellate,730
DC,1931-04-10 00:00:00,Coscinodiscus spp.,Diatom,3500
DC,1931-04-10 00:00:00,Chaetoceros spp.,Diatom,48180
DC,1931-05-01 00:00:00,Codonellopsis ostenfeldi,Ciliate,250
DC,1931-06-21 00:00:00,Chaetoceros spp.,Diatom,2000
DC,1931-07-02 00:00:00,Thalassionema nitzschioides,Diatom,880
DC,1931-08-02 00:00:00,Coscinodiscus spp.,Diatom,1600
DC,1931-08-08 00:00:00,Thalassiosira rotula,Diatom,13680
DC,1931-09-20 00:00:00,Tripos furca,Dinoflagellate,70
DC,1931-12-26 00:00:00,Leptocylindrus danicus,Diatom,12000
DC,1932-01-08 00:00:00,Coscinodiscus spp.,Diatom,3000
DC,1932-02-10 00:00:00,Protoperidinium spp.,Dinoflagellate,5400
DC,1932-02-12 00:00:00,Thalassiosira rotula,Diatom,1200
DC,1931-11-01 00:00:00,Chaetoceros spp.,Diatom,21120
DC,1931-01-20 00:00:00,Tripos furca,Dinoflagellate,33300
DC,1931-04-07 00:00:00,Protoperidinium spp.,Dinoflagellate,1980
DC,1931-08-12 00:00:00,Odontella mobiliensis,Diatom,440
DC,1931-09-12 00:00:00,Odontella mobiliensis,Diatom,1460
DC,1932-02-12 00:00:00,Helicotheca tamesis,Diatom,400
DC,1931-11-15 00:00:00,Protoperidinium spp.,Dinoflagellate,1800
DC,1931-05-01 00:00:00,Protoperidinium spp.,Dinoflagellate,2400
DC,1931-07-18 00:00:00,Thalassiosira subtilis,Diatom,70
DC,1931-08-08 00:00:00,Odontella mobiliensis,Diatom,6480
DC,1931-09-12 00:00:00,Thalassiosira spp.,Diatom,4200
DC,1932-01-02 00:00:00,Dinophysis tripos,Dinoflagellate,1200
DC,1932-02-10 00:00:00,Leptocylindrus danicus,Diatom,2200
DC,1931-10-17 00:00:00,Odontella mobiliensis,Diatom,4500
DC,1931-11-15 00:00:00,Rhizosolenia robusta,Diatom,28000
DC,1931-01-04 00:00:00,Chaetoceros spp.,Diatom,880
DC,1931-04-10 00:00:00,Rhizosolenia spp.,Diatom,1900
DC,1931-06-21 00:00:00,Guinardia striata,Diatom,900
DC,1931-08-12 00:00:00,Asterionellopsis glacialis,Diatom,112700
DC,1931-11-22 00:00:00,Odontella spp.,Diatom,1600
DC,1931-04-10 00:00:00,Tripos furca,Dinoflagellate,5000
DC,1931-08-08 00:00:00,Helicotheca tamesis,Diatom,3600
DC,1931-09-05 00:00:00,Odontella mobiliensis,Diatom,70
DC,1932-02-12 00:00:00,Tintinnopsis radix,Ciliate,1320
DC,1932-02-12 00:00:00,Thalassiosira condensata,Diatom,2000
DC,1932-02-12 00:00:00,Tripos fusus,Dinoflagellate,2200
DC,1932-02-12 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,3080
DC,1932-02-12 00:00:00,Protoperidinium spp.,Dinoflagellate,3080
DC,1932-02-12 00:00:00,Coscinodiscus spp.,Diatom,6600
DC,1932-02-12 00:00:00,Thalassiosira spp.,Diatom,6600
DC,1932-02-12 00:00:00,Asterionellopsis glacialis,Diatom,11440
DC,1932-02-12 00:00:00,Chaetoceros spp.,Diatom,12320
DC,1932-02-12 00:00:00,Rhizosolenia spp.,Diatom,12320
DC,1932-02-12 00:00:00,Leptocylindrus danicus,Diatom,22000
DC,1932-02-12 00:00:00,Tripos furca,Dinoflagellate,880
DC,1932-01-08 00:00:00,Guinardia delicatula,Diatom,17000
DC,1932-02-10 00:00:00,Rhizosolenia robusta,Diatom,1000
DC,1931-08-08 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,10800
DC,1931-09-05 00:00:00,Asterionellopsis glacialis,Diatom,70
DC,1931-10-03 00:00:00,Guinardia striata,Diatom,2200
DC,1931-10-17 00:00:00,Thalassiosira spp.,Diatom,70
DC,1931-11-22 00:00:00,Planktoniella sol,Diatom,9240
DC,1931-07-18 00:00:00,Asterionellopsis glacialis,Diatom,70
DC,1932-01-08 00:00:00,Codonellopsis ostenfeldi,Ciliate,400
DC,1931-11-22 00:00:00,Chaetoceros spp.,Diatom,6600
